Variable,Question_Description,Value,Value_Meaning
Q1,How old are you,1,12 years old or younger
Q1,How old are you,2,13 years old
Q1,How old are you,3,14 years old
Q1,How old are you,4,15 years old
Q1,How old are you,5,16 years old
Q1,How old are you,6,17 years old
Q1,How old are you,7,18 years old or older
Q2,What is your sex,1,Female
Q2,What is your sex,2,Male
Q3,In what grade are you,1,9th grade
Q3,In what grade are you,2,10th grade
Q3,In what grade are you,3,11th grade
Q3,In what grade are you,4,12th grade
Q3,In what grade are you,5,Ungraded or other grade
Q4,Are you Hispanic/Latino,1,Yes
Q4,Are you Hispanic/Latino,2,No
Q5,What is your race,,
Q6,How tall are you,,
Q7,How much do you weigh,,
Q8,Seat belt use,1,Never
Q8,Seat belt use,2,Rarely
Q8,Seat belt use,3,Sometimes
Q8,Seat belt use,4,Most of the time
Q8,Seat belt use,5,Always
Q9,Riding with a drinking driver,1,0 times
Q9,Riding with a drinking driver,2,1 time
Q9,Riding with a drinking driver,3,2 or 3 times
Q9,Riding with a drinking driver,4,4 or 5 times
Q9,Riding with a drinking driver,5,6 or more times
Q10,Drinking and driving,1,Did not drive
Q10,Drinking and driving,2,Did not drive when drinking
Q10,Drinking and driving,3,1 time
Q10,Drinking and driving,4,2 or 3 times
Q10,Drinking and driving,5,4 or 5 times
Q10,Drinking and driving,6,6 or more times
Q11,Texting and driving,1,Did not drive
Q11,Texting and driving,2,Did not text while driving
Q11,Texting and driving,3,1 or 2 days
Q11,Texting and driving,4,3 to 5 days
Q11,Texting and driving,5,6 to 9 days
Q11,Texting and driving,6,10 to 19 days
Q11,Texting and driving,7,20 to 29 days
Q11,Texting and driving,8,All 30 days
Q12,Weapon carrying at school,1,0 days
Q12,Weapon carrying at school,2,1 day
Q12,Weapon carrying at school,3,2 or 3 days
Q12,Weapon carrying at school,4,4 or 5 days
Q12,Weapon carrying at school,5,6 or more days
Q13,Gun carrying,1,0 days
Q13,Gun carrying,2,1 day
Q13,Gun carrying,3,2 or 3 days
Q13,Gun carrying,4,4 or 5 days
Q13,Gun carrying,5,6 or more days
Q14,Safety concerns at school,1,0 days
Q14,Safety concerns at school,2,1 day
Q14,Safety concerns at school,3,2 or 3 days
Q14,Safety concerns at school,4,4 or 5 days
Q14,Safety concerns at school,5,6 or more days
Q15,Threatened at school,1,0 times
Q15,Threatened at school,2,1 time
Q15,Threatened at school,3,2 or 3 times
Q15,Threatened at school,4,4 or 5 times
Q15,Threatened at school,5,6 or 7 times
Q15,Threatened at school,6,8 or 9 times
Q15,Threatened at school,7,10 or 11 times
Q15,Threatened at school,8,12 or more times
Q16,Times in fight past 12 months,1,0 times
Q16,Times in fight past 12 months,2,1 time
Q16,Times in fight past 12 months,3,2 or 3 times
Q16,Times in fight past 12 months,4,4 or 5 times
Q16,Times in fight past 12 months,5,6 or 7 times
Q16,Times in fight past 12 months,6,8 or 9 times
Q16,Times in fight past 12 months,7,10 or 11 times
Q16,Times in fight past 12 months,8,12 or more times
Q17,Physical fighting at school,1,0 times
Q17,Physical fighting at school,2,1 time
Q17,Physical fighting at school,3,2 or 3 times
Q17,Physical fighting at school,4,4 or 5 times
Q17,Physical fighting at school,5,6 or 7 times
Q17,Physical fighting at school,6,8 or 9 times
Q17,Physical fighting at school,7,10 or 11 times
Q17,Physical fighting at school,8,12 or more times
Q18,Saw physical violence in neighborhood,1,Yes
Q18,Saw physical violence in neighborhood,2,No
Q19,Ever been physically forced sexual intercourse,1,Yes
Q19,Ever been physically forced sexual intercourse,2,No
Q20,Sexual violence,1,0 times
Q20,Sexual violence,2,1 time
Q20,Sexual violence,3,2 or 3 times
Q20,Sexual violence,4,4 or 5 times
Q20,Sexual violence,5,6 or more times
Q21,Sexual dating violence,1,Did not date
Q21,Sexual dating violence,2,0 times
Q21,Sexual dating violence,3,1 time
Q21,Sexual dating violence,4,2 or 3 times
Q21,Sexual dating violence,5,4 or 5 times
Q21,Sexual dating violence,6,6 or more times
Q22,Physical dating violence,1,Did not date
Q22,Physical dating violence,2,0 times
Q22,Physical dating violence,3,1 time
Q22,Physical dating violence,4,2 or 3 times
Q22,Physical dating violence,5,4 or 5 times
Q22,Physical dating violence,6,6 or more times
Q23,treated unfairly in school b/c race/ethnicity,1,Never
Q23,treated unfairly in school b/c race/ethnicity,2,Rarely
Q23,treated unfairly in school b/c race/ethnicity,3,Sometimes
Q23,treated unfairly in school b/c race/ethnicity,4,Most of the time
Q23,treated unfairly in school b/c race/ethnicity,5,Always
Q24,Bullied at school,1,Yes
Q24,Bullied at school,2,No
Q25,Electronic bullying,1,Yes
Q25,Electronic bullying,2,No
Q26,Sad or hopeless,1,Yes
Q26,Sad or hopeless,2,No
Q27,Considered suicide,1,Yes
Q27,Considered suicide,2,No
Q28,Made a suicide plan past 12 months,1,Yes
Q28,Made a suicide plan past 12 months,2,No
Q29,Actually attempted suicide,1,0 times
Q29,Actually attempted suicide,2,1 time
Q29,Actually attempted suicide,3,2 or 3 times
Q29,Actually attempted suicide,4,4 or 5 times
Q29,Actually attempted suicide,5,6 or more times
Q30,Injurious suicide attempt,1,Did not attempt suicide
Q30,Injurious suicide attempt,2,Yes
Q30,Injurious suicide attempt,3,No
Q31,Ever cigarette use,1,Yes
Q31,Ever cigarette use,2,No
Q32,Initiation of cigarette smoking,1,Never smoked a cigarette
Q32,Initiation of cigarette smoking,2,8 years old or younger
Q32,Initiation of cigarette smoking,3,9 or 10 years old
Q32,Initiation of cigarette smoking,4,11 or 12 years old
Q32,Initiation of cigarette smoking,5,13 or 14 years old
Q32,Initiation of cigarette smoking,6,15 or 16 years old
Q32,Initiation of cigarette smoking,7,17 years old or older
Q33,Current cigarette use,1,0 days
Q33,Current cigarette use,2,1 or 2 days
Q33,Current cigarette use,3,3 to 5 days
Q33,Current cigarette use,4,6 to 9 days
Q33,Current cigarette use,5,10 to 19 days
Q33,Current cigarette use,6,20 to 29 days
Q33,Current cigarette use,7,All 30 days
Q34,Smoked >10 cigarettes,1,Did not smoke cigarettes
Q34,Smoked >10 cigarettes,2,Less than 1 cigarette
Q34,Smoked >10 cigarettes,3,1 cigarette
Q34,Smoked >10 cigarettes,4,2 to 5 cigarettes
Q34,Smoked >10 cigarettes,5,6 to 10 cigarettes
Q34,Smoked >10 cigarettes,6,11 to 20 cigarettes
Q34,Smoked >10 cigarettes,7,More than 20 cigarettes
Q35,Electronic vapor product use,1,Yes
Q35,Electronic vapor product use,2,No
Q36,Current electronic vapor product use,1,0 days
Q36,Current electronic vapor product use,2,1 or 2 days
Q36,Current electronic vapor product use,3,3 to 5 days
Q36,Current electronic vapor product use,4,6 to 9 days
Q36,Current electronic vapor product use,5,10 to 19 days
Q36,Current electronic vapor product use,6,20 to 29 days
Q36,Current electronic vapor product use,7,All 30 days
Q37,EVP from store,1,Did not use EVP
Q37,EVP from store,2,Friend or family
Q37,EVP from store,3,Vape shop or tobacco shop
Q37,EVP from store,4,Store or gas station
Q37,EVP from store,5,Mall kiosk or stand
Q37,EVP from store,6,Internet
Q37,EVP from store,7,Took from a store
Q37,EVP from store,8,Some other way
Q38,Current smokeless tobacco use,1,0 days
Q38,Current smokeless tobacco use,2,1 or 2 days
Q38,Current smokeless tobacco use,3,3 to 5 days
Q38,Current smokeless tobacco use,4,6 to 9 days
Q38,Current smokeless tobacco use,5,10 to 19 days
Q38,Current smokeless tobacco use,6,20 to 29 days
Q38,Current smokeless tobacco use,7,All 30 days
Q39,Current cigar use,1,0 days
Q39,Current cigar use,2,1 or 2 days
Q39,Current cigar use,3,3 to 5 days
Q39,Current cigar use,4,6 to 9 days
Q39,Current cigar use,5,10 to 19 days
Q39,Current cigar use,6,20 to 29 days
Q39,Current cigar use,7,All 30 days
Q40,All tobacco product cessation,1,Did not use tobacco products
Q40,All tobacco product cessation,2,Yes
Q40,All tobacco product cessation,3,No
Q41,Initiation of alcohol use,1,Never drank alcohol
Q41,Initiation of alcohol use,2,8 years old or younger
Q41,Initiation of alcohol use,3,9 or 10 years old
Q41,Initiation of alcohol use,4,11 or 12 years old
Q41,Initiation of alcohol use,5,13 or 14 years old
Q41,Initiation of alcohol use,6,15 or 16 years old
Q41,Initiation of alcohol use,7,17 years old or older
Q42,Current alcohol use,1,0 days
Q42,Current alcohol use,2,1 or 2 days
Q42,Current alcohol use,3,3 to 5 days
Q42,Current alcohol use,4,6 to 9 days
Q42,Current alcohol use,5,10 to 19 days
Q42,Current alcohol use,6,20 to 29 days
Q42,Current alcohol use,7,All 30 days
Q43,Current binge drinking,1,0 days
Q43,Current binge drinking,2,1 day
Q43,Current binge drinking,3,2 days
Q43,Current binge drinking,4,3 to 5 days
Q43,Current binge drinking,5,6 to 9 days
Q43,Current binge drinking,6,10 to 19 days
Q43,Current binge drinking,7,20 or more days
Q44,Drinks in a row past 30 days,1,Did not drink in past 30 days
Q44,Drinks in a row past 30 days,2,1 or 2 drinks
Q44,Drinks in a row past 30 days,3,3 drinks
Q44,Drinks in a row past 30 days,4,4 drinks
Q44,Drinks in a row past 30 days,5,5 drinks
Q44,Drinks in a row past 30 days,6,6 or 7 drinks
Q44,Drinks in a row past 30 days,7,8 or 9 drinks
Q44,Drinks in a row past 30 days,8,10 or more drinks
Q45,Source of alcohol,1,Did not drink in past 30 days
Q45,Source of alcohol,2,Bought in store
Q45,Source of alcohol,3,Bought in restaurant
Q45,Source of alcohol,4,Bought at public event
Q45,Source of alcohol,5,I gave someone money to buy
Q45,Source of alcohol,6,Someone gave it to me
Q46,Ever marijuana use,1,0 times
Q46,Ever marijuana use,2,1 or 2 times
Q46,Ever marijuana use,3,3 to 9 times
Q46,Ever marijuana use,4,10 to 19 times
Q46,Ever marijuana use,5,20 to 39 times
Q46,Ever marijuana use,6,40 to 99 times
Q46,Ever marijuana use,7,100 or more times
Q47,Initiation of marijuana use,1,Never tried marijuana
Q47,Initiation of marijuana use,2,8 years old or younger
Q47,Initiation of marijuana use,3,9 or 10 years old
Q47,Initiation of marijuana use,4,11 or 12 years old
Q47,Initiation of marijuana use,5,13 or 14 years old
Q47,Initiation of marijuana use,6,15 or 16 years old
Q47,Initiation of marijuana use,7,17 years old or older
Q48,Current marijuana use,1,0 times
Q48,Current marijuana use,2,1 or 2 times
Q48,Current marijuana use,3,3 to 9 times
Q48,Current marijuana use,4,10 to 19 times
Q48,Current marijuana use,5,20 to 39 times
Q48,Current marijuana use,6,40 or more times
Q49,Ever prescription pain medicine use,1,0 times
Q49,Ever prescription pain medicine use,2,1 or 2 times
Q49,Ever prescription pain medicine use,3,3 to 9 times
Q49,Ever prescription pain medicine use,4,10 to 19 times
Q49,Ever prescription pain medicine use,5,20 to 39 times
Q49,Ever prescription pain medicine use,6,40 or more times
Q50,Ever cocaine use,1,0 times
Q50,Ever cocaine use,2,1 or 2 times
Q50,Ever cocaine use,3,3 to 9 times
Q50,Ever cocaine use,4,10 to 19 times
Q50,Ever cocaine use,5,20 to 39 times
Q50,Ever cocaine use,6,40 or more times
Q51,Ever inhalant use,1,0 times
Q51,Ever inhalant use,2,1 or 2 times
Q51,Ever inhalant use,3,3 to 9 times
Q51,Ever inhalant use,4,10 to 19 times
Q51,Ever inhalant use,5,20 to 39 times
Q51,Ever inhalant use,6,40 or more times
Q52,Ever heroin use,1,0 times
Q52,Ever heroin use,2,1 or 2 times
Q52,Ever heroin use,3,3 to 9 times
Q52,Ever heroin use,4,10 to 19 times
Q52,Ever heroin use,5,20 to 39 times
Q52,Ever heroin use,6,40 or more times
Q53,Ever methamphetamine use,1,0 times
Q53,Ever methamphetamine use,2,1 or 2 times
Q53,Ever methamphetamine use,3,3 to 9 times
Q53,Ever methamphetamine use,4,10 to 19 times
Q53,Ever methamphetamine use,5,20 to 39 times
Q53,Ever methamphetamine use,6,40 or more times
Q54,Ever ecstasy use,1,0 times
Q54,Ever ecstasy use,2,1 or 2 times
Q54,Ever ecstasy use,3,3 to 9 times
Q54,Ever ecstasy use,4,10 to 19 times
Q54,Ever ecstasy use,5,20 to 39 times
Q54,Ever ecstasy use,6,40 or more times
Q55,Illegal injected drug use,1,0 times
Q55,Illegal injected drug use,2,1 time
Q55,Illegal injected drug use,3,2 or more times
Q56,Ever sexual intercourse,1,Yes
Q56,Ever sexual intercourse,2,No
Q57,Sex before 13 years,1,Never had sex
Q57,Sex before 13 years,2,11 years old or younger
Q57,Sex before 13 years,3,12 years old
Q57,Sex before 13 years,4,13 years old
Q57,Sex before 13 years,5,14 years old
Q57,Sex before 13 years,6,15 years old
Q57,Sex before 13 years,7,16 years old
Q57,Sex before 13 years,8,17 years old or older
Q58,Number of sex partners,1,Never had sex
Q58,Number of sex partners,2,1 person
Q58,Number of sex partners,3,2 people
Q58,Number of sex partners,4,3 people
Q58,Number of sex partners,5,4 people
Q58,Number of sex partners,6,5 people
Q58,Number of sex partners,7,6 or more people
Q59,Current sexual activity,1,Never had sex
Q59,Current sexual activity,2,None during past 3 months
Q59,Current sexual activity,3,1 person
Q59,Current sexual activity,4,2 people
Q59,Current sexual activity,5,3 people
Q59,Current sexual activity,6,4 people
Q59,Current sexual activity,7,5 people
Q59,Current sexual activity,8,6 or more people
Q60,Alcohol/drugs and sex,1,Never had sex
Q60,Alcohol/drugs and sex,2,Yes
Q60,Alcohol/drugs and sex,3,No
Q61,Condom use,1,Never had sex
Q61,Condom use,2,Yes
Q61,Condom use,3,No
Q62,Birth control pill use,1,Never had sex
Q62,Birth control pill use,2,No birth control
Q62,Birth control pill use,3,Birth control pills
Q62,Birth control pill use,4,Condoms
Q62,Birth control pill use,5,IUD or implant
Q63,Sex of sexual contacts,1,Never had sexual contact
Q63,Sex of sexual contacts,2,Females
Q63,Sex of sexual contacts,3,Males
Q63,Sex of sexual contacts,4,Females and males
Q64,Sexual identity,1,Heterosexual (straight)
Q64,Sexual identity,2,Gay or lesbian
Q64,Sexual identity,3,Bisexual
Q64,Sexual identity,4,Some other way
Q64,Sexual identity,5,Not sure
Q64,Sexual identity,6,Don't know what this means
Q65,Transgender,1,No
Q65,Transgender,2,"Yes, I am transgender"
Q65,Transgender,3,Not sure if I am transgender
Q65,Transgender,4,Don't know what this means
Q66,Perception of weight,1,Very underweight
Q66,Perception of weight,2,Slightly underweight
Q66,Perception of weight,3,About the right weight
Q66,Perception of weight,4,Slightly overweight
Q66,Perception of weight,5,Very overweight
Q67,Weight loss,1,Lose weight
Q67,Weight loss,2,Gain weight
Q67,Weight loss,3,Stay the same weight
Q67,Weight loss,4,Not trying to do anything
Q68,Fruit juice drinking,1,Did not drink fruit juice
Q68,Fruit juice drinking,2,1 to 3 times
Q68,Fruit juice drinking,3,4 to 6 times
Q68,Fruit juice drinking,4,1 time per day
Q68,Fruit juice drinking,5,2 times per day
Q68,Fruit juice drinking,6,3 times per day
Q68,Fruit juice drinking,7,4 or more times per day
Q69,Fruit eating,1,Did not eat fruit
Q69,Fruit eating,2,1 to 3 times
Q69,Fruit eating,3,4 to 6 times
Q69,Fruit eating,4,1 time per day
Q69,Fruit eating,5,2 times per day
Q69,Fruit eating,6,3 times per day
Q69,Fruit eating,7,4 or more times per day
Q70,Green salad eating,1,Did not eat green salad
Q70,Green salad eating,2,1 to 3 times
Q70,Green salad eating,3,4 to 6 times
Q70,Green salad eating,4,1 time per day
Q70,Green salad eating,5,2 times per day
Q70,Green salad eating,6,3 times per day
Q70,Green salad eating,7,4 or more times per day
Q71,Potato eating,1,Did not eat potatoes
Q71,Potato eating,2,1 to 3 times
Q71,Potato eating,3,4 to 6 times
Q71,Potato eating,4,1 time per day
Q71,Potato eating,5,2 times per day
Q71,Potato eating,6,3 times per day
Q71,Potato eating,7,4 or more times per day
Q72,Carrot eating,1,Did not eat carrots
Q72,Carrot eating,2,1 to 3 times
Q72,Carrot eating,3,4 to 6 times
Q72,Carrot eating,4,1 time per day
Q72,Carrot eating,5,2 times per day
Q72,Carrot eating,6,3 times per day
Q72,Carrot eating,7,4 or more times per day
Q73,Other vegetable eating,1,Did not eat other vegetables
Q73,Other vegetable eating,2,1 to 3 times
Q73,Other vegetable eating,3,4 to 6 times
Q73,Other vegetable eating,4,1 time per day
Q73,Other vegetable eating,5,2 times per day
Q73,Other vegetable eating,6,3 times per day
Q73,Other vegetable eating,7,4 or more times per day
Q74,No soda drinking,1,Did not drink soda or pop
Q74,No soda drinking,2,1 to 3 times
